citric acid,fixed acidity,residual sugar,pH,alcohol,quality
0.02,7.1,4.4,3.41,11,4
0.07,7.2,1.4,3.32,9.6,6
0.31,7.5,1.6,3.31,9,5
0.06,7.2,1.6,3.36,9.6,6
0.46,10.1,1.8,3.04,10.2,6
0.52,12.1,2,3.03,10.2,5
0.14,9.4,2,3.14,9.7,5
0.36,8.3,1.8,3.18,9.5,6
0.45,11.3,2,2.94,9.2,6
0.43,10,2.3,3.15,11,5
0.45,11.3,2,2.94,9.2,6
0.24,6.9,2.5,3.26,10,5
0.21,8.2,1.7,3.2,9.5,5
0.34,9.8,2,3.15,9.5,5
0.21,8.2,1.7,3.2,9.5,5
0.41,10.8,2.2,3.08,9.3,6
0.39,9.3,2.2,3.26,10.2,5
0.41,10.8,2.2,3.08,9.3,6
0.11,8.6,2.3,3.4,9.9,5
0.1,8.3,2.6,3.48,10,5
0.45,10.8,3.3,3.13,9.6,5
0.58,13.3,1.9,3.06,9,5
0.23,8,2.2,3.21,10.2,6
0.31,8.5,2.25,3.33,9.8,5
0.23,8.1,2.6,3.37,11.3,5
0.32,9.8,2.3,3.25,9.4,5
0.23,8.1,2.6,3.37,11.3,5
0.18,7.1,1.8,3.44,9.1,5
0.23,9.1,3.1,3.28,9.7,5
0.04,7.7,1.6,3.4,9.4,5
0.48,8.1,1.8,3.3,9.4,5
0,7.4,4.25,3.63,10.7,3
0.24,9.2,2.6,3.48,9.8,5
0.51,8.6,2,3.03,9,5
0.32,9,2.8,3.32,9.4,5
0.31,9,2.7,3.31,9.4,5
0.02,5.1,1.3,3.9,12.8,6
0.02,7,2.1,3.47,9.5,6
0.02,7,2.1,3.47,9.5,6
0.28,9.4,3.2,3.31,9.7,5
0.55,11.8,2.1,3.11,10.8,6
0.43,10.6,2.9,3.08,10.1,6
0.02,7,2.1,3.47,9.5,6
0.02,7,2.1,3.47,9.4,6
0.48,7.5,2.6,3.32,9.6,4
0.04,9.1,1.6,3.29,9.7,4
0.15,8.4,6,3.37,9.9,5
0.08,7,2,3.4,10,5
0.19,7.4,3,3.37,10.5,5
0.12,7.8,2.5,3.34,11.6,6
0.47,9.7,1.6,3.27,10,6
0.43,10.6,2.8,3.06,10.1,5
0.34,8.9,3,3.38,9.5,5
0,8.7,3.2,3.36,9.4,5
0.36,8,2.3,3.34,9.4,5
0.28,9.9,2.6,3.28,9.8,5
0.18,7.2,2.7,3.29,9.2,6
0.36,8,2.3,3.34,9.4,5
0.11,7.6,2.6,3.21,10,5
0.04,8.4,2,3.22,9.6,5
0,7.1,3.9,3.46,9.5,5
0.04,8.4,2,3.22,9.6,5
0.24,8.9,2.85,3.1,9.2,5
0.08,7.6,2.7,3.21,10,5
0.3,7.1,2.2,2.94,9.5,5
0.1,7.5,3.1,3.54,11.2,4
0.17,9,3,3.29,10.4,5
0.09,8.1,2.8,3.43,11.1,6
0.02,6.4,1.8,3.46,9.5,5
0.02,6.4,1.8,3.46,9.5,5
0.03,6.4,3.2,3.61,12.7,6
0.66,9.5,2.3,3.17,9.6,5
0.13,8.9,3.45,3.44,11.5,5
0.03,7.3,2.1,3.39,9.6,5
0.34,7,2.7,3.55,9.5,5
0.2,7.7,2,3.48,9.3,5
0.1,7.7,2.1,3.26,9.5,5
0.1,7.7,2.1,3.26,9.5,5
0,8.2,2.5,3.5,9.3,6
0.23,9,2.8,3.1,9.2,5
0,9,2.4,3.35,9.3,5
0.29,8.3,4.2,3.45,11.5,6
0.24,9.2,2.6,3.21,9.5,5
0,6.5,1.9,3.46,9.2,5
0.58,11.6,2.8,3.13,10,5
0.54,11.1,2.7,3.13,9.5,5
0.18,7.3,2.1,3.52,9.5,6
0.38,8.2,2.5,3.3,9,6
0.4,8.6,2.6,3.3,9.4,5
0.18,7.2,2.1,3.52,9.6,6
0.18,7.3,2.1,3.52,9.5,6
0.1,8.3,2.9,3.29,9.5,5
0.1,8.3,2.9,3.29,9.5,5
0.13,7.6,2.5,3.39,9.4,5
0.1,8.3,2.9,3.29,9.5,5
0.68,7.8,1.7,3.09,9.1,6
0.07,7.8,1.9,3.51,10.7,6
0.01,6.3,2,3.6,11.2,6
0,8.1,2.2,3.25,9.8,5
0,8.1,2.2,3.25,9.8,5
0.21,8.8,2.5,3.19,9.2,5
0.25,9,2.8,3.23,9.7,5
0.26,9.3,2,3.25,9.6,5
0,8.8,1.7,3.31,10,6
0.26,9.3,2,3.25,9.6,5
0.11,9.1,2.8,3.31,9.5,6
0.1,9.2,3,3.31,9.5,6
0.18,8.8,2.9,3.14,9.4,5
0.32,7.5,2.7,3.45,9.5,5
0.02,7.1,2.3,3.55,9.7,6
0.01,7.9,1.9,3.39,9.6,5
0.02,7.1,2.3,3.55,9.7,6
0.26,9.4,2.4,3.28,9.4,5
0.27,9.5,2.3,3.27,9.4,5
0.29,7.9,1.8,3.3,9.5,6
0.3,7.9,1.8,3.31,9.5,6
0,7.2,3,3.43,10,5
0.18,6.9,2.4,3.4,10.3,6
0.17,6.9,2.4,3.4,10.3,6
0.3,8.3,3.4,3.36,10.5,5
0.03,7.1,2.6,3.5,9.8,5
0,7,2,3.31,9.4,6
0.14,6.5,2.4,3.66,9.8,5
0.05,9,2.4,3.36,10,5
0.14,6.5,2.4,3.66,9.8,5
0.01,7.1,2.5,3.55,9.8,5
0.41,9.9,2.3,3.21,9.5,5
0.41,9.9,2.3,3.21,9.5,5
0.24,10,2.2,3.18,10.1,6
0.24,10,2.2,3.18,10.1,6
0.17,8.6,2.9,3.09,9.3,5
0.43,7.4,2.6,3.33,9.7,6
0.17,8.8,2.9,3.23,9.6,5
0.02,7.1,2.5,3.48,9.7,6
0,7.7,2.6,3.38,10.8,5
0.54,10.1,2.3,3.17,12.5,6
0.3,10.8,2.6,2.99,10.2,5
0.31,8.7,2.5,3.1,9.6,5
0.44,9.3,1.6,3.24,10.8,7
0.34,9.4,3.6,3.29,10.7,6
0.34,9.4,3.6,3.29,10.7,6
0.08,7.2,4,3.25,9.4,5
0.09,8.6,3.3,3.23,10,5
0,5.1,1.7,3.56,12.9,7
0.08,7.7,2.5,3.24,9.6,6
0.22,8.4,2.7,3.26,9.9,6
0.4,8.2,2.4,3.33,12.8,7
0.39,8.4,2,3.27,12.5,7
0.4,8.2,2.4,3.33,12.8,7
0.12,7.4,1.9,3.26,9.2,5
0.31,7.6,2.8,3.22,10.3,6
0.1,7.3,2.6,3.3,10.5,5
0.55,12.9,2.8,3.09,10.9,6
0.33,10.8,2.5,3.24,10.8,5
0.24,6.9,2.1,3.44,11.4,4
0.54,12.6,2.8,3.21,11.3,6
0.33,10.8,2.5,3.24,10.8,5
0.19,9.8,3.2,3.23,10.5,6
0.42,10.8,1.6,3.28,11.9,6
0,7.1,2.35,3.29,9.4,5
0.15,9.1,3.2,3.28,9.6,5
0,7,1.9,3.34,9.7,5
0,4.9,2.1,3.71,14,7
0.13,6.7,2,3.61,9.8,5
0.13,6.7,2,3.61,9.8,5
0.28,7.1,2.8,3.24,10.3,5
0.14,7.1,2.8,3.36,10.7,5
0.34,7.5,2.3,3.4,11,7
0.14,7.1,2.8,3.36,10.7,5
0.09,7.8,2.3,3.46,12.7,8
0.08,5.9,2.1,3.56,11.1,6
0.07,7.5,2.5,3.38,10.9,4
0.08,5.9,2.1,3.56,11.1,6
0.42,10.4,1.5,3.38,9.9,3
0.44,11.6,1.6,3.38,9.9,4
0.26,8.8,1.6,3.32,9.4,5
0.1,7.6,1.5,3.39,9.3,5
0.28,6.7,2.4,3.26,11.7,7
0.28,6.7,2.4,3.26,11.7,7
0.35,10.1,1.6,3.24,11.2,7
0.04,6,2.2,3.46,10,5
0.47,11.1,2.65,3.24,12.1,7
0,6.6,3,3.45,10.3,5
0.45,10.6,2.6,3.23,10.9,6
0.35,7.1,2,3.28,9.4,5
0.46,9.9,1.7,3.18,10.6,6
0.21,6.4,1.8,3.59,9.8,5
0.21,6.4,1.8,3.59,9.8,5
0.16,7.4,1.8,3.5,9.9,6
0.21,6.4,1.8,3.59,9.8,5
0.21,6.4,1.6,3.58,9.8,5
0.44,9.3,1.9,3.28,9.5,5
0.44,9.3,1.9,3.28,9.5,5
0.32,8,2.5,3.22,9.7,5
0.39,9.3,1.5,3.47,10.9,6
0.39,9.3,1.5,3.47,10.9,6
0.02,7.6,2.5,3.51,11.7,7
0.39,9.3,1.5,3.47,10.9,6
0.34,8.2,2.5,3.4,11.3,7
0.47,11.7,1.7,3.15,10.6,7
0.22,6.8,1.8,3.4,11.2,6
0.06,7.2,2.7,3.51,9.5,5
0.66,5.8,2,3.66,11.5,6
0.32,7.5,2.7,3.24,10.4,5
0.06,7.2,2.5,3.51,9.7,5
0.06,7.2,2.7,3.51,9.5,5
0.07,7.2,2.6,3.51,9.7,5
0.22,6.8,2.3,3.41,11.3,6
0.23,6.9,2,3.4,11.2,6
0.22,6.8,1.8,3.4,11.2,6
0.03,7.6,2,3.44,10.9,6
0.01,7.7,2.1,3.41,11.8,6
0.03,6.9,1.5,3.53,10.6,5
0.24,7.3,2,3.43,10,4
0.37,9.1,1.6,3.23,11.1,7
0.46,10.4,2.1,3.12,11.8,7
0.4,8.8,2.8,3.31,11.8,7
0,7.1,2.2,3.4,10.9,4
0.01,7.7,2.1,3.41,11.8,6
0.19,8.8,4,3.22,10,6
0.04,7.2,2.5,3.53,9.5,5
0.18,9.2,1.6,3.15,9.9,5
0,7.6,2.1,3.48,11.4,6
0.29,8.4,3.1,3.22,12,6
0.04,7.2,2.5,3.53,9.5,5
0.19,8.8,4,3.22,10,6
0.14,8.9,2.5,3.34,10.5,5
0.12,9,2.4,3.33,10.4,6
0.38,10.7,2.6,3.15,12.1,7
0,6.8,2.5,3.43,11.2,6
0.34,10.7,6.6,3.22,9.3,5
0.24,7.2,2,3.44,10.1,5
0.03,7.2,2.3,3.53,9.7,5
0.23,10.1,1.9,3.22,9.3,6
0.03,7.2,2.3,3.53,9.7,5
0.03,7.2,2.2,3.53,9.8,6
0.01,7.1,2.3,3.42,10.7,6
0.39,8.3,2.4,3.31,12.5,7
0.01,7.1,2.3,3.42,10.7,6
0.39,8.3,2.4,3.31,12.5,7
0.02,8.3,3.4,3.48,11,3
0.36,8.9,2.6,3.4,11.8,5
0.1,7.4,2.4,3.58,10.8,7
0.1,7.4,2.4,3.58,10.8,7
0.06,6.8,6,3.41,10.8,7
0.06,6.8,6,3.41,10.8,7
0.2,9.2,3,3.23,9.5,5
0.27,7.2,2.6,3.39,11,5
0,6.1,2.2,3.59,11.5,6
0.13,7.4,2.4,3.43,10.8,6
0.39,7.3,1.2,3.29,11.5,6
0.48,9.3,3.8,3.23,13.2,6
0.46,9.1,9,3.18,10.9,6
0.44,10,2.9,3.33,12.2,6
0.46,9.4,4.6,3.27,12.2,7
0.39,7.3,1.2,3.29,11.5,6
0.4,8.6,2.2,3.27,11.9,6
0.19,5.3,1.5,3.62,11,5
0.31,6.8,8.8,3.38,10.1,6
0.32,8.4,2.2,3.3,11,6
0.12,8.4,1.8,3.38,11.8,6
0.37,9.6,2.3,3.24,10.5,5
0.32,8.4,2.2,3.3,11,6
0.12,8.4,1.8,3.38,11.8,6
0.31,6.8,8.8,3.38,10.1,6
0.27,8.6,2.3,3.18,11.2,5
0.36,8.6,1.9,3.47,11,7
0.33,9.4,2.3,3.47,10.2,6
0.19,8.4,2.2,3.2,9.2,4
0.27,8.6,2.3,3.18,11.2,5
0.38,8.7,3.3,3.3,12,7
0.01,6.6,1.9,3.69,10.5,5
0.01,7.4,2,3.48,9.8,5
0.29,7.6,1.9,3.45,9.5,6
0.01,7.4,2,3.48,9.8,5
0.01,6.6,1.9,3.69,10.5,5
0.38,8.8,2.3,3.39,11.8,6
0.38,8.8,2.3,3.39,11.8,6
0.5,12,1.4,3.07,10.4,4
0.38,7.2,2.8,3.34,12.9,7
0.17,6.2,1.6,3.61,11.4,5
0.52,9.6,2.2,3.36,12.4,7
0.49,9.9,5,3.19,12.5,7
0.4,10.1,2.6,3.22,10,7
0.34,9.8,2.3,3.24,9.7,7
0.49,8.3,3.8,3.27,12.1,7
0.42,10.2,2,3.14,11.1,7
0.58,10.2,4.1,3.29,12,7
0.48,8.3,2.1,3.26,12.4,7
0.45,8.9,1.8,3.41,11.9,7
0.45,8.9,1.8,3.41,11.9,7
0.45,8.9,1.8,3.41,11.9,7
0.48,8.3,2.1,3.26,12.4,7
0.4,8.2,2.2,3.31,11.2,7
0.48,10.2,2.1,3.2,12.1,7
0.4,7.6,2.7,3.44,12.2,6
0.52,8.5,1.9,3.36,10.4,5
0.52,9,2.1,3.31,11.3,6
0.52,9.5,2,3.29,11.1,6
0.12,6.4,2.3,3.47,11.3,7
0.05,8,2,3.36,10,5
0.27,8.5,1.9,3.16,11.1,6
0.14,7.1,1.6,3.27,9.3,5
0.02,6.6,2.1,3.38,9.5,5
0.39,8.8,2,3.15,11.2,6
0.27,8.5,1.9,3.16,11.1,6
0.4,8.3,2.4,3.34,11,6
0.41,9,2.4,3.13,11.9,7
0.2,8.5,2.1,3.13,9.2,5
0.43,9,2.4,3.2,12.2,6
0.09,6.7,2.9,3.46,10.2,5
0.48,10.4,1.9,3.33,10.9,6
0.48,10.4,1.9,3.33,10.9,6
0.5,10.1,2.4,3.22,11.6,7
0.44,8.5,1.7,3.52,10.7,5
0.41,8.8,5.9,3.3,12.1,7
0.3,7.2,2.1,3.44,9.4,5
0.3,7.2,2.1,3.44,9.4,5
0.29,8.4,2.6,3.15,9.1,5
0.32,7,3.6,3.28,11.3,7
0.49,12.2,1.4,3.13,10.4,5
0.3,9.1,1.9,3.32,10.5,6
0.26,9.5,1.9,3.25,10,5
0.32,7.3,2.1,3.34,12.9,6
0.3,9.1,1.9,3.32,10.5,6
0.49,12.2,1.4,3.13,10.4,5
0,7.4,2,3.45,11.3,6
0.39,9.8,1.4,3.19,11.4,7
0.3,7.1,1.6,3.44,9.4,5
0.12,7.7,1.7,3.16,9.4,5
0.4,9.7,1.5,3.14,10.9,6
0.12,7.7,1.7,3.16,9.4,5
0.28,7.1,2,3.45,9.4,5
0.1,6.5,2,3.36,9.4,6
0.28,7.1,2,3.45,9.4,5
0.45,10,2.5,3.15,9.4,5
0.06,7.7,2,3.39,10.1,6
0,5.6,2.2,3.71,12.8,7
0,5.6,2.2,3.71,12.8,7
0.34,8.9,1.4,3.12,9.1,6
0,6.4,1.65,3.47,12.9,6
0.3,7.5,2.2,3.44,11.5,7
0.38,9.9,1.5,3.26,10.6,7
0.33,9.1,2.05,3.26,11.7,7
0.32,6.8,1.8,3.36,12.8,7
0.29,8.2,1.6,3.25,10.3,5
0.32,6.8,1.8,3.36,12.8,7
0.33,9.1,2.05,3.26,11.7,7
0.34,9.1,2,3.26,11.7,7
0.4,8.9,3.6,3.23,12,7
0.36,9.6,2.8,3.18,10.9,5
0.45,8.9,1.7,3.25,12.3,7
0.31,8.9,2,3.17,10.4,6
0.15,7.7,2.1,3.23,10,5
0,7.5,1.6,3.38,10,6
0.16,8,2,3.22,11.2,6
0.46,10.5,2.2,3.06,11.4,6
0.4,8.9,2.2,3.27,12.6,7
0.37,8,0.9,2.89,12.7,6
0.37,8,0.9,2.89,12.7,6
0.14,7,1.8,3.53,10.4,5
0.66,11.3,2.4,3.2,11.9,6
0.66,11.3,2.4,3.2,11.9,6
0.09,7,2.1,3.35,10.5,5
0.42,8.2,2.3,3.27,12.3,6
0.01,7.7,1.8,3.32,10.5,7
0,8.6,2.8,3.33,10.4,6
0.32,7.9,1.9,3.41,12.6,6
0,6.4,2.2,3.49,11.6,5
0.21,7.2,2.5,3.37,10.1,6
0.01,7.7,1.8,3.32,10.5,7
0,7.1,2.1,3.42,11.5,7
0.01,7.3,1.8,3.35,11,7
0,8.1,4.1,3.36,9.6,5
0.08,7.5,2.6,3.3,10.4,6
0.18,8.9,2.5,3.2,9.7,6
0.34,10.1,2.4,3.17,10.6,7
0.34,7.6,2.5,3.22,12.5,7
0.1,7.3,1.8,3.35,9.2,5
0.41,8.7,6.2,3.24,12.6,7
0.21,8.9,2.2,3.33,11.1,6
0,7.4,2.2,3.58,10.2,5
0.19,6.9,1.7,3.38,9.8,6
0.21,8.9,2.2,3.33,11.1,6
0.41,9.5,8.9,3.29,10.9,7
0.33,6.4,3.3,3.36,12.2,6
0,6.9,1.4,3.32,11.4,6
0,7.6,1.7,3.31,10.7,6
0.17,7.1,1.8,3.49,10.4,5
0.36,9.3,1.7,3.27,10.9,6
0.36,9.3,1.8,3.27,10.8,6
0.17,7.1,1.8,3.49,10.4,5
0.59,8.5,1.4,3.03,9.2,5
0.05,5.6,2.4,3.56,12.9,5
0.42,8.3,2.3,3.38,12.7,7
0.27,8.2,2,3.13,9.1,6
0.27,8.2,2,3.13,9.1,6
0.53,8.9,4,3.21,12.1,7
0.25,7.6,3.9,3.15,9.1,5
0.57,9.9,2.4,3.19,11.6,7
0.53,8.9,4,3.21,12.1,7
0.57,11.6,1.8,3.14,9.9,6
0.5,9.1,1.8,3.21,12.5,8
0.44,8,1.9,3.3,11.4,6
0.65,10.2,2.4,3.22,11.8,6
0.09,8.2,2,3.28,11.8,6
0.18,7.7,2.4,3.29,10.2,6
0.08,6.6,2.4,3.4,12.5,7
0.53,11.1,2.2,3.02,10.9,7
0.53,11.1,2.2,3.02,10.9,7
0.35,8,2.8,3.31,10.8,5
0.45,9.3,1.5,3.18,11.1,7
0.2,7.5,8.1,3.2,9.2,5
0.26,7.2,1.8,3.4,9.5,6
0.33,8,2.7,3.31,10.7,6
0.2,7.5,8.1,3.2,9.2,5
0.34,9.1,2,3.44,10.2,7
0.56,9.9,2,3.15,11.4,6
0.65,8.6,6.4,3.27,11,5
0.65,8.6,6.4,3.27,11,5
0.68,7.9,8.3,3.01,12.3,7
0.56,10.3,1.4,3.16,11.8,6
0.68,7.9,8.3,3.01,12.3,7
0.3,7.2,1.8,3.42,9.5,6
0.45,8.7,2.4,3.33,12,6
0.3,7.2,1.8,3.42,9.5,6
0.08,6.8,1.8,3.12,9.6,5
0.4,8.5,4.7,3.38,11.6,7
0.42,7.9,1.6,3.29,11.2,6
0.54,11.6,1.5,3.02,9.9,7
0.54,11.6,1.5,3.02,9.9,7
0.54,10,1.9,2.98,11.8,8
0.42,7.9,2,3.35,11.4,6
0.09,7,2,3.43,11.5,6
0.36,9.2,2.2,3.33,12,7
0.09,6.6,5.5,3.35,10.8,6
0.47,9.4,2.5,3.15,10.5,5
0.09,6.6,5.5,3.35,10.8,6
0.38,8.6,1.5,3.2,9.4,5
0.45,8,2.1,3.15,12.5,7
0.38,8.6,1.5,3.2,9.4,5
0.42,8.4,2.1,3.11,12.4,6
0.27,7.4,2.1,3.35,12,6
0.09,6.1,1.7,3.45,11.2,6
0.27,7.4,2.1,3.35,12,6
0.34,8,2.2,3.28,12.4,6
0.28,6.3,2.1,3.41,12.8,5
0.42,8.2,1.9,3.21,12.3,6
0.41,9.1,2,3.27,11.7,7
0.1,8.1,3.3,3.36,9.5,5
0.43,10.8,2.1,3.17,10.8,6
0,8.3,1.4,3.25,10,6
0.27,5.4,2,3.78,12.3,7
0.41,7.9,1.5,3.29,11,6
0.39,8.9,1.6,3.12,9.5,6
0.5,5,4.3,3.49,13.6,6
0.07,7,2.5,3.38,11.3,6
0.07,7,2.5,3.38,11.3,6
0.07,7,2.5,3.38,11.3,6
0.12,7.1,2.1,3.3,13.3,6
0,5.6,2.5,3.52,12.9,5
0.34,7.9,2.5,3.2,13.1,8
0,6.6,1.8,3.44,12.3,6
0,6.3,1.4,3.45,12.3,6
0.37,10.7,1.9,3.12,11.2,6
0,6.5,2.2,3.62,11.5,4
0.35,8.8,1.7,3.14,11.3,7
0.26,5.8,1.7,3.39,13.5,6
0,6.3,2.9,3.51,11.5,6
0.33,10,2.7,3.22,10,5
0.35,10.5,3.3,3.21,10.5,6
0,9.1,1.9,3.18,10.4,6
0.21,5.9,1.7,3.32,9.5,5
0.34,7.4,1.8,3.38,13.6,7
0.07,7.2,5.5,3.37,11.2,7
0.35,8.5,1.7,3.3,11.8,7
0.43,8,1.7,3.38,11.9,6
0.45,10.4,2,3.22,11.4,6
0.45,10.4,2,3.22,11.4,6
0.15,7.5,3.7,3.14,9.1,5
0.24,8.2,2,3.34,9.5,6
0.3,7.3,1.7,3.41,9.5,6
0.32,8.2,2.5,3.27,11,6
0.11,6.9,2.4,3.3,11.4,6
0.3,7,1.8,3.61,10,6
0.23,7.3,2.3,3.43,10.1,5
0.43,8.2,2.5,3.53,10.4,6
0.12,7.8,1.8,3.28,9.8,6
0.45,10,6.2,3.21,11.8,7
0.42,7.8,2,3.39,11.6,6
0.47,10,2,3.23,12,6
0.32,8.2,2.8,3.3,12.8,7
0.23,6.1,2.5,3.46,12.5,6
0.25,8.3,2.2,3.15,9.8,5
0.35,9.6,2.1,3.23,11.1,6
0,6.6,2.2,3.59,11.4,6
0.25,8.3,2.2,3.15,9.8,5
0.51,8.5,1.75,3.33,11.8,7
0.18,5.1,2.1,3.46,12.9,7
0.43,6.7,2.8,3.42,10.6,6
0.43,10.2,2.2,3.16,10.8,5
0.57,10.6,2.3,3.14,11.1,7
0.43,8.8,1.4,3.21,10.2,6
0.42,8.5,2.3,3.14,11.8,7
0.24,9,1.7,3.29,10,5
0.24,9,1.7,3.29,10,5
0.5,8.5,1.9,3.01,9.4,5
0.26,9.9,2,2.94,10.2,5
0.39,8.2,2.5,3.32,12.4,7
0.27,6.5,2.8,3.21,12,6
0.29,7.6,2.3,3.32,11.5,6
0.34,9.2,1.6,3.2,10.5,6
0,7.1,2.2,3.42,10.8,6
0.46,9.7,2.1,3.27,12.3,6
0.31,7.6,1.7,3.46,9.5,6
0.31,7.6,1.7,3.46,9.5,6
0,6.5,2.2,3.61,11.5,6
0.03,6.5,5.6,3.58,11.2,4
0,7.1,2.4,3.35,12.7,7
0,5.6,2.1,3.68,11.4,5
0.33,8.2,2.4,3.27,11,6
0.33,8.2,2.4,3.27,11,6
0.43,9.8,1.65,3.19,11.4,5
0.4,10.2,2.5,3.38,10.5,6
0.07,6.8,1.6,3.29,9.3,5
0.23,6.7,2.1,3.36,10.9,5
0.3,7,2,3.33,11.9,6
0.03,6.6,7.8,3.52,12.2,5
0.3,7,2,3.33,11.9,6
0.23,6.7,2.1,3.36,10.9,5
0.05,8.8,1.8,3.3,9.6,4
0.57,9.1,4.6,3.28,12.5,6
0,6.5,2.3,3.56,10.8,5
0.37,7.2,2.5,3.52,12.4,7
0,6.4,2.3,3.56,10.8,5
0.12,7,1.8,3.22,9.5,6
0.22,6.2,1.8,3.52,9.5,6
0.23,7.9,2.3,3.21,9.5,6
0.21,7.7,1.5,3.16,9.8,6
0.26,7.7,2,3.15,10.9,6
0.23,7.9,2.3,3.21,9.5,6
0.21,7.7,1.5,3.16,9.8,6
0.36,7.9,1.9,3.27,11.2,7
0.39,8.6,1.8,3.35,11.7,8
0.19,9.9,5.8,3.14,9.4,5
0.46,7.2,2.1,3.4,11,7
0.46,7.2,2.1,3.4,11,7
0.46,7.2,2.1,3.4,11,7
0.55,9.9,1.7,3.35,10,5
0.46,7.2,2.1,3.4,11,7
0.43,6.2,2,3.45,11.2,7
0.02,6.8,2.1,3.35,10.4,6
0.15,6.6,2.1,3.32,9.3,5
0.02,6.8,2.1,3.35,10.4,6
0.42,9.6,1.9,3.15,10.5,6
0.46,10.2,1.9,3.1,10.4,6
0.46,8.8,2.1,3.26,11.3,6
0.31,7.9,2,3.29,9.5,6
0.37,8.2,1.9,3.23,12,6
0.31,8.2,1.9,3.24,10.6,6
0.4,9,1.3,3.2,10.9,6
0.52,10.9,1.8,3.28,11.5,6
0.52,10.9,1.8,3.28,11.5,6
0.22,8.1,2.2,3.26,9.6,6
0.47,10.5,2.2,3.23,12,6
0.49,12.6,2.5,3.07,10.3,6
0.23,9.2,2.6,3.15,9.4,5
0.03,7.5,4.1,3.02,9.2,5
0.25,9,2,3.27,9.6,5
0,5.1,1.8,3.68,13.6,7
0.29,7.6,2.1,3.4,9.5,5
0.34,7.7,2.7,3.37,11.8,6
0.01,7.8,2.6,3.38,10.8,5
0.29,7.6,2.1,3.4,9.5,5
0.37,10.2,2.2,3.23,9.3,4
0.01,7.1,2.2,3.39,12.8,6
0.32,6,12.9,3.3,11.5,4
0,7.8,1.7,3.26,9.4,6
0.01,7.1,2.2,3.39,12.8,6
0,8.1,2.5,3.38,9.6,4
0,6.5,4.3,3.45,11.8,4
0.2,7.5,1.7,3.1,9.3,5
0.39,9.8,2.5,3.16,9.8,5
0.41,9,2,3.22,12.2,6
0.22,8.3,2.4,3.37,9.5,5
0.25,5.9,13.4,3.33,10.3,6
0.19,7.4,1.8,3.49,10.5,5
0.07,7.4,1.7,3.12,10,5
0.19,7.4,1.8,3.49,10.5,5
0.33,6.9,2.2,3.41,11.1,6
0.01,7.1,2.3,3.4,10.9,6
0.01,7.1,2.3,3.4,10.9,6
0.14,7.5,2.2,3.28,9.8,5
0,7.1,1.8,3.45,9.8,5
0,7.9,1.4,3.43,9.5,5
0.06,7.8,1.9,3.4,10.9,5
0.02,6.1,2.4,3.47,11,5
0.22,7.5,1.8,3.1,9.2,5
0.28,7,4.8,3.32,11,6
0,6.8,2.7,3.44,11.3,6
0,6.8,2.7,3.44,11.3,6
0.68,8.6,1.8,3.02,9.3,5
0,6.3,2,3.59,11.2,4
0.38,9.8,2.5,3.15,9.8,5
0,8.2,2.2,3.37,9.6,4
0.32,8.5,1.8,3.38,11.8,6
0.05,7.2,2.3,3.38,10.3,6
0.05,7.2,2.3,3.38,10.3,6
0.5,10.4,2.3,3.1,11.4,6
0.31,6.9,2,3.47,9.5,6
0.03,5.5,1.8,3.5,14,8
0.01,5,1.6,3.7,14,6
0.2,7.3,1.6,3.38,11.7,6
0,5.9,1.9,3.5,11.2,5
0.2,7.5,2,3.1,9.3,5
0.13,7.8,2.1,3.24,11.2,6
0.22,8,2.3,3.24,9.5,6
0.4,8.5,6.3,3.28,12,4
0,7,1.9,3.35,9.7,6
0.22,8,2.3,3.24,9.5,6
0.39,9.8,1.7,3.14,11.5,7
0.2,7.1,1.9,3.37,10.4,6
0.2,7.1,1.9,3.37,10.4,6
0,7.9,2,3.33,10.9,6
0.28,8.7,2.7,3.26,10.2,6
0.19,7,2.3,3.39,10.9,5
0.5,11.3,1.8,3.15,10.5,5
0.44,7.1,2.5,3.35,12.4,6
0.08,8,2.6,3.22,13,5
0.3,7,4.5,3.3,10.2,5
0.3,7,4.5,3.3,10.2,5
0,7.6,1.9,3.36,11,5
0.1,8.2,2.1,3.29,10.9,6
0.13,5.9,2.4,3.62,12.4,6
0,7.5,1.9,3.34,9.7,4
0.1,8.2,2.1,3.29,10.9,6
0,6.6,4.3,3.2,9.5,5
0,6.6,4.3,3.2,9.5,5
0.14,7.2,2.1,3.35,12.1,6
0,5.7,1.4,3.45,12.2,6
0,7.6,2.1,3.5,10.9,3
0,5.2,2.15,3.78,12.5,6
0.07,6.7,2,3.6,11.7,6
0.32,9.1,2.1,3.3,11.2,6
0.44,8,1.8,3.36,11.2,5
0.21,7.6,2.3,3.12,9.2,5
0.26,7.5,1.9,3.3,9.8,5
0.32,9.7,2.5,3.29,10.1,5
0.09,6.8,3.9,3.41,11.1,4
0.32,9.7,2.5,3.29,10.1,5
0.1,7,1.4,3.28,9.2,5
0.26,7.5,1.9,3.3,9.8,5
0.15,6.5,3,3.33,12.8,6
0.21,8,1.9,3.34,10.5,5
0.21,7,2.3,3.4,10.1,6
0.21,7,2.4,3.4,10.1,6
0.27,7.5,2,3.26,9.8,6
0,5.4,1.2,4.01,12.5,6
0.46,9.9,2.2,3.18,11.9,6
0.27,7.5,2,3.26,9.8,6
0.68,9.1,1.7,2.9,9.1,6
0.34,9.7,2.6,3.26,10.1,5
